ccountyounty,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alameda,9.0,9.0,7.0,5.0,10.0,3.0,12.0,8.0,6.0,7.0,7.0,7.0,90
Alpine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2
Amador,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,2.0,13
Butte,3.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,33
Calaveras,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,10
Colusa,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,9
Contra Costa,3.0,8.0,6.0,4.0,5.0,9.0,6.0,7.0,8.0,4.0,3.0,6.0,69
Del Norte,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,8
El Dorado,5.0,6.0,0.0,2.0,0.0,4.0,2.0,1.0,3.0,3.0,1.0,0.0,27
Fresno,12.0,13.0,7.0,11.0,4.0,5.0,12.0,17.0,13.0,9.0,9.0,10.0,122
Glenn,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5
Humboldt,3.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,20
Imperial,5.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,4.0,29
Inyo,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,9
Kern,11.0,13.0,4.0,12.0,7.0,13.0,12.0,15.0,8.0,16.0,12.0,15.0,138
Kings,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,3.0,0.0,1.0,13
Lake,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,5.0,2.0,15
Lassen,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6
Los Angeles,52.0,58.0,51.0,66.0,48.0,54.0,64.0,57.0,48.0,61.0,72.0,52.0,683
Madera,4.0,2.0,1.0,2.0,7.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,35
Marin,3.0,1.0,1.0,4.0,1.0,1.0,2.0,0.0,5.0,0.0,1.0,1.0,20
Mariposa,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4
Mendocino,3.0,1.0,1.0,2.0,2.0,2.0,4.0,0.0,3.0,0.0,2.0,1.0,21
Merced,3.0,2.0,6.0,2.0,3.0,5.0,0.0,3.0,5.0,7.0,6.0,5.0,47
Modoc,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,6
Mono,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5
Monterey,2.0,2.0,4.0,4.0,2.0,4.0,2.0,1.0,2.0,2.0,4.0,3.0,32
Napa,1.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,6.0,0.0,2.0,0.0,17
Nevada,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,10
Orange,17.0,10.0,10.0,11.0,9.0,21.0,14.0,13.0,10.0,17.0,18.0,14.0,164
Placer,2.0,0.0,4.0,1.0,1.0,1.0,0.0,3.0,1.0,5.0,2.0,4.0,24
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3
Riverside,28.0,8.0,20.0,24.0,24.0,29.0,21.0,21.0,23.0,20.0,33.0,18.0,269
Sacramento,11.0,6.0,14.0,11.0,13.0,18.0,14.0,16.0,16.0,13.0,15.0,17.0,164
San Benito,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,11
San Bernardino,22.0,14.0,19.0,20.0,36.0,26.0,30.0,19.0,24.0,21.0,42.0,29.0,302
San Diego,14.0,20.0,25.0,19.0,18.0,17.0,14.0,23.0,15.0,23.0,28.0,23.0,239
San Francisco,3.0,3.0,6.0,2.0,4.0,3.0,3.0,1.0,1.0,4.0,1.0,3.0,34
San Joaquin,7.0,12.0,7.0,7.0,10.0,8.0,9.0,10.0,15.0,3.0,11.0,12.0,111
San Luis Obispo,2.0,1.0,4.0,1.0,0.0,1.0,6.0,3.0,3.0,5.0,2.0,3.0,31
San Mateo,5.0,3.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,27
Santa Barbara,5.0,3.0,2.0,4.0,0.0,4.0,3.0,0.0,4.0,2.0,2.0,4.0,33
Santa Clara,12.0,7.0,9.0,6.0,11.0,12.0,6.0,10.0,13.0,10.0,14.0,14.0,124
Santa Cruz,0.0,3.0,2.0,0.0,3.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,19
Shasta,2.0,1.0,3.0,0.0,1.0,6.0,2.0,5.0,4.0,2.0,5.0,3.0,34
Sierra,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
Siskiyou,0.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9
Solano,7.0,4.0,2.0,3.0,5.0,2.0,2.0,3.0,8.0,3.0,3.0,1.0,43
Sonoma,3.0,1.0,6.0,2.0,2.0,2.0,5.0,5.0,1.0,3.0,4.0,2.0,36
Stanislaus,2.0,5.0,6.0,3.0,5.0,5.0,6.0,6.0,7.0,6.0,3.0,9.0,63
Sutter,2.0,0.0,1.0,0.0,2.0,3.0,0.0,5.0,0.0,5.0,3.0,1.0,22
Tehama,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,3.0,15
Trinity,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,8
Tulare,3.0,2.0,7.0,2.0,4.0,5.0,4.0,9.0,8.0,9.0,2.0,5.0,60
Tuolumne,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,12
Ventura,1.0,0.0,4.0,4.0,9.0,3.0,5.0,5.0,3.0,5.0,1.0,3.0,43
Yolo,3.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,3.0,1.0,24
Yuba,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,13
Total,282.0,234.0,257.0,254.0,275.0,298.0,288.0,307.0,304.0,306.0,336.0,297.0,"3,438"
